故障编号,故障名称,故障现象,故障原因,解决办法
urma_256,init_general_slave_devices 校验 设备 无效导致初始化流程拒绝继续执行,关键日志：匹配 Invalid slave device number of device；日志路径：URMA_LOG_PATH,init_general_slave_devices 在执行初始化前发现调用方传入的 设备 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_257,init_general_slave_devices 执行初始化 context 失败导致当前资源状态无法推进,关键日志：匹配 Failed to create dev ctx in bonding；日志路径：URMA_LOG_PATH,init_general_slave_devices 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_258,init_matrix_slave_devices 执行初始化 设备 失败导致当前资源状态无法推进,关键日志：匹配 urma get device list failed!；日志路径：URMA_LOG_PATH,init_matrix_slave_devices 调用下层 provider、bond 组件或系统接口处理 设备 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_259,init_matrix_slave_devices 执行初始化 设备 失败导致当前资源状态无法推进,关键日志：匹配 Failed to get topo info by bonding eid；日志路径：URMA_LOG_PATH,init_matrix_slave_devices 调用下层 provider、bond 组件或系统接口处理 设备 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_260,init_matrix_slave_devices 执行初始化 设备 失败导致当前资源状态无法推进,关键日志：匹配 Primary eid is empty；日志路径：URMA_LOG_PATH,init_matrix_slave_devices 调用下层 provider、bond 组件或系统接口处理 设备 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_261,init_matrix_slave_devices 执行初始化 设备 失败导致当前资源状态无法推进,关键日志：匹配 No port eid valid；日志路径：URMA_LOG_PATH,init_matrix_slave_devices 调用下层 provider、bond 组件或系统接口处理 设备 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_262,init_matrix_slave_devices 执行初始化 context 失败导致当前资源状态无法推进,关键日志：依次匹配 `Failed to create ctx for primary eid[`、`]`；日志路径：URMA_LOG_PATH,init_matrix_slave_devices 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_263,bondp_create_context 执行创建 context 失败导致当前资源状态无法推进,关键日志：匹配 Uninitialized variables；日志路径：URMA_LOG_PATH,bondp_create_context 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_264,bondp_create_context 执行创建 context 失败导致当前资源状态无法推进,关键日志：匹配 Failed to create ctx；日志路径：URMA_LOG_PATH,bondp_create_context 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_265,bondp_create_context 执行创建 context 失败导致当前资源状态无法推进,关键日志：匹配 Failed to init v_ctx；日志路径：URMA_LOG_PATH,bondp_create_context 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_266,bondp_create_context 管理 epoll fd 失败导致 JFCE 事件聚合不可用,关键日志：匹配 Failed to create context；日志路径：URMA_LOG_PATH,bondp_create_context 在 bond 模式下需要把物理 JFCE fd 加入或移出虚拟 JFCE 的 epoll 集合，但 epoll 系统调用失败，完成事件无法被统一监听和分发。,无
urma_267,bondp_create_context 管理 epoll fd 失败导致 JFCE 事件聚合不可用,关键日志：匹配 Failed to create epoll；日志路径：URMA_LOG_PATH,bondp_create_context 在 bond 模式下需要把物理 JFCE fd 加入或移出虚拟 JFCE 的 epoll 集合，但 epoll 系统调用失败，完成事件无法被统一监听和分发。,无
urma_268,bondp_set_aggr_mode 校验 context 无效导致设置流程拒绝继续执行,关键日志：匹配 bonding context is invalid in user ctl；日志路径：URMA_LOG_PATH,bondp_set_aggr_mode 在执行设置前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_269,bondp_find_vtseg_by_va 更新 目标 segment 映射结构失败导致资源索引不可用,关键日志：匹配 bondp_hash_table_lookup fail；日志路径：URMA_LOG_PATH,bondp_find_vtseg_by_va 需要维护 目标 segment 到物理资源或虚拟资源的映射关系，但哈希表创建、插入、删除或查找失败，后续无法通过标识定位正确资源。,无
urma_270,bondp_create_pseg 校验 segment 无效导致创建流程拒绝继续执行,关键日志：匹配 Invalid segment address for bondp seg；日志路径：URMA_LOG_PATH,bondp_create_pseg 在执行创建前发现调用方传入的 segment 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_271,bondp_create_pseg 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 Failed to register pseg；日志路径：URMA_LOG_PATH,bondp_create_pseg 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_272,bondp_create_vseg 装载或匹配 provider 失败导致设备驱动能力不可用,"关键日志：匹配 `Fail to register vseg, ret:`；日志路径：URMA_LOG_PATH",bondp_create_vseg 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_273,bondp_register_seg 校验 segment 无效导致注册流程拒绝继续执行,关键日志：匹配 Invalid token id for register bondp seg；日志路径：URMA_LOG_PATH,bondp_register_seg 在执行注册前发现调用方传入的 segment 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_274,bondp_register_seg 分配 segment 临时参数失败导致注册流程无法继续,关键日志：匹配 Failed to alloc bondp segment comp；日志路径：URMA_LOG_PATH,bondp_register_seg 需要为 segment 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_275,bondp_register_seg 执行注册 context 失败导致当前资源状态无法推进,关键日志：匹配 Failed to create pseg；日志路径：URMA_LOG_PATH,bondp_register_seg 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_276,bondp_register_seg 执行注册 context 失败导致当前资源状态无法推进,关键日志：匹配 Failed to create vseg；日志路径：URMA_LOG_PATH,bondp_register_seg 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_277,bondp_import_seg 分配 目标 segment 临时参数失败导致导入流程无法继续,关键日志：匹配 Failed to alloc target seg；日志路径：URMA_LOG_PATH,bondp_import_seg 需要为 目标 segment 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_278,bdp_queue_push_tail 校验 URMA 对象 无效导致处理流程拒绝继续执行,"关键日志：依次匹配 `Failed to enqueue with invalid node_num:`、`, max_node:`；日志路径：URMA_LOG_PATH",bdp_queue_push_tail 在执行处理前发现调用方传入的 URMA 对象 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_279,bdp_queue_push_tail 分配 URMA 对象 临时参数失败导致处理流程无法继续,关键日志：匹配 Failed to alloc bdp_queue_node；日志路径：URMA_LOG_PATH,bdp_queue_push_tail 需要为 URMA 对象 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_280,bdp_slide_wnd_init 校验 URMA 对象 无效导致初始化流程拒绝继续执行,关键日志：匹配 Invalid param wnd；日志路径：URMA_LOG_PATH,bdp_slide_wnd_init 在执行初始化前发现调用方传入的 URMA 对象 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_281,bdp_slide_wnd_init 校验 URMA 对象 无效导致初始化流程拒绝继续执行,关键日志：匹配 Invalid param: total_size <= window_size；日志路径：URMA_LOG_PATH,bdp_slide_wnd_init 在执行初始化前发现调用方传入的 URMA 对象 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_282,bdp_slide_wnd_init 更新 URMA 对象 映射结构失败导致资源索引不可用,关键日志：匹配 Failed to init bitmap；日志路径：URMA_LOG_PATH,bdp_slide_wnd_init 需要维护 URMA 对象 到物理资源或虚拟资源的映射关系，但哈希表创建、插入、删除或查找失败，后续无法通过标识定位正确资源。,无
urma_283,bdp_slide_wnd_uninit 校验 URMA 对象 无效导致初始化流程拒绝继续执行,关键日志：匹配 Invalid param wnd；日志路径：URMA_LOG_PATH,bdp_slide_wnd_uninit 在执行初始化前发现调用方传入的 URMA 对象 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_284,create_topo_map 校验 拓扑信息 无效导致创建流程拒绝继续执行,关键日志：匹配 Invalid topo info to create topo map；日志路径：URMA_LOG_PATH,create_topo_map 在执行创建前发现调用方传入的 拓扑信息 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_285,create_topo_map 分配 拓扑信息 临时参数失败导致创建流程无法继续,关键日志：匹配 Failed to alloc topo_map；日志路径：URMA_LOG_PATH,create_topo_map 需要为 拓扑信息 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_286,create_topo_map 执行创建 拓扑信息 失败导致当前资源状态无法推进,关键日志：匹配 topo info doesn't have cur_node；日志路径：URMA_LOG_PATH,create_topo_map 调用下层 provider、bond 组件或系统接口处理 拓扑信息 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_287,create_topo_map 更新 EID 映射结构失败导致资源索引不可用,关键日志：匹配 Failed to create eid_mapping_hash_table；日志路径：URMA_LOG_PATH,create_topo_map 需要维护 EID 到物理资源或虚拟资源的映射关系，但哈希表创建、插入、删除或查找失败，后续无法通过标识定位正确资源。,无
urma_288,deepcopy_sge 校验 SGE 无效导致复制流程拒绝继续执行,"关键日志：匹配 Invalid sge pointer, dst or src is NULL；日志路径：URMA_LOG_PATH",deepcopy_sge 在执行复制前发现调用方传入的 SGE 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_289,deepcopy_sg 校验 URMA 对象 无效导致复制流程拒绝继续执行,"关键日志：匹配 Invalid sg pointer, dst or src is NULL；日志路径：URMA_LOG_PATH",deepcopy_sg 在执行复制前发现调用方传入的 URMA 对象 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_290,deepcopy_sg 校验 SGE 无效导致复制流程拒绝继续执行,关键日志：匹配 Invalid num_sge；日志路径：URMA_LOG_PATH,deepcopy_sg 在执行复制前发现调用方传入的 SGE 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_291,deepcopy_sg 分配 SGE 临时参数失败导致复制流程无法继续,关键日志：匹配 Failed to alloc dst sge；日志路径：URMA_LOG_PATH,deepcopy_sg 需要为 SGE 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_292,deepcopy_cas_wr 分配 WR 临时参数失败导致复制流程无法继续,关键日志：匹配 Failed to alloc new_wr_cas->dst；日志路径：URMA_LOG_PATH,deepcopy_cas_wr 需要为 WR 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_293,deepcopy_cas_wr 执行复制 WR 失败导致当前资源状态无法推进,关键日志：匹配 Failed to deepcopy dst sge；日志路径：URMA_LOG_PATH,deepcopy_cas_wr 调用下层 provider、bond 组件或系统接口处理 WR 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_294,deepcopy_cas_wr 分配 WR 临时参数失败导致复制流程无法继续,关键日志：匹配 Failed to alloc new_wr_cas->src；日志路径：URMA_LOG_PATH,deepcopy_cas_wr 需要为 WR 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_295,deepcopy_cas_wr 执行复制 WR 失败导致当前资源状态无法推进,关键日志：匹配 Failed to copy src sge；日志路径：URMA_LOG_PATH,deepcopy_cas_wr 调用下层 provider、bond 组件或系统接口处理 WR 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_296,deepcopy_faa_wr 分配 WR 临时参数失败导致复制流程无法继续,关键日志：匹配 Failed to alloc new_wr_faa->dst；日志路径：URMA_LOG_PATH,deepcopy_faa_wr 需要为 WR 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_297,deepcopy_faa_wr 执行复制 WR 失败导致当前资源状态无法推进,关键日志：匹配 Failed to deepcopy dst sge；日志路径：URMA_LOG_PATH,deepcopy_faa_wr 调用下层 provider、bond 组件或系统接口处理 WR 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_298,deepcopy_faa_wr 分配 WR 临时参数失败导致复制流程无法继续,关键日志：匹配 Failed to alloc new_wr_faa->src；日志路径：URMA_LOG_PATH,deepcopy_faa_wr 需要为 WR 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_299,deepcopy_faa_wr 执行复制 WR 失败导致当前资源状态无法推进,关键日志：匹配 Failed to deepcopy src sge；日志路径：URMA_LOG_PATH,deepcopy_faa_wr 调用下层 provider、bond 组件或系统接口处理 WR 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_300,deepcopy_jfs_wr_node 分配 JFS 临时参数失败导致复制流程无法继续,关键日志：匹配 Malloc wr failed；日志路径：URMA_LOG_PATH,deepcopy_jfs_wr_node 需要为 JFS 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_301,deepcopy_jfs_wr_node 执行复制 JFS 失败导致当前资源状态无法推进,关键日志：匹配 Deepcopy sg failed；日志路径：URMA_LOG_PATH,deepcopy_jfs_wr_node 调用下层 provider、bond 组件或系统接口处理 JFS 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_302,deepcopy_jfr_wr_node 分配 JFR 临时参数失败导致复制流程无法继续,关键日志：匹配 Malloc wr failed；日志路径：URMA_LOG_PATH,deepcopy_jfr_wr_node 需要为 JFR 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_303,deepcopy_jfr_wr_node 执行复制 JFR 失败导致当前资源状态无法推进,关键日志：匹配 Deepcopy sg failed；日志路径：URMA_LOG_PATH,deepcopy_jfr_wr_node 调用下层 provider、bond 组件或系统接口处理 JFR 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_304,urma_cmd_create_context 校验 context 无效导致创建流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_create_context 在执行创建前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_305,urma_cmd_create_context URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,关键日志：匹配 Failed to query eid；日志路径：URMA_LOG_PATH,urma_cmd_create_context 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 context 状态。,无
urma_306,urma_cmd_create_context URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_create_context 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 context 状态。,无
urma_307,urma_cmd_alloc_token_id 校验 context 无效导致分配流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_alloc_token_id 在执行分配前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_308,urma_cmd_alloc_token_id 分配 token_id 临时参数失败导致分配流程无法继续,"关键日志：依次匹配 `ioctl failed in urma_cmd_alloc_token_id, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_alloc_token_id 需要为 token_id 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_309,urma_cmd_alloc_token_id_ex 校验 context 无效导致分配流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_alloc_token_id_ex 在执行分配前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_310,urma_cmd_alloc_token_id_ex 分配 token_id 临时参数失败导致分配流程无法继续,"关键日志：依次匹配 `ioctl failed in urma_cmd_alloc_token_id, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_alloc_token_id_ex 需要为 token_id 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_311,urma_cmd_create_jfs URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_create_jfs 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_312,urma_cmd_delete_jfs_batch 校验 设备 无效导致删除流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_delete_jfs_batch 在执行删除前发现调用方传入的 设备 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_313,urma_cmd_delete_jfs_batch 装载或匹配 provider 失败导致设备驱动能力不可用,"关键日志：匹配 `jfs not from the same dev, cannot delete in a batch, index:`；日志路径：URMA_LOG_PATH",urma_cmd_delete_jfs_batch 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_314,urma_cmd_delete_jfs_batch 分配 JFS 临时参数失败导致删除流程无法继续,关键日志：匹配 Failed to malloc buffer；日志路径：URMA_LOG_PATH,urma_cmd_delete_jfs_batch 需要为 JFS 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_315,urma_cmd_create_jfr 校验 context 无效导致创建流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_create_jfr 在执行创建前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_316,urma_cmd_create_jfr URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_create_jfr, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_create_jfr 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_317,urma_cmd_alloc_jfs 校验 context 无效导致分配流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_alloc_jfs 在执行分配前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_318,urma_cmd_alloc_jfs 分配 JFS 临时参数失败导致分配流程无法继续,"关键日志：依次匹配 `ioctl failed in urma_cmd_alloc_jfr, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_alloc_jfs 需要为 JFS 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_319,urma_cmd_free_jfs 校验 context 无效导致释放流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_free_jfs 在执行释放前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_320,urma_cmd_set_jfs_opt 校验 JFS 无效导致设置流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_set_jfs_opt 在执行设置前发现调用方传入的 JFS 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_321,urma_cmd_set_jfs_opt 校验 context 无效导致设置流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_set_jfs_opt 在执行设置前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_322,urma_cmd_delete_jfr_batch 校验 设备 无效导致删除流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_delete_jfr_batch 在执行删除前发现调用方传入的 设备 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_323,urma_cmd_delete_jfr_batch 装载或匹配 provider 失败导致设备驱动能力不可用,"关键日志：匹配 `jfr not from the same dev, cannot delete in a batch, index:`；日志路径：URMA_LOG_PATH",urma_cmd_delete_jfr_batch 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_324,urma_cmd_delete_jfr_batch 分配 JFR 临时参数失败导致删除流程无法继续,关键日志：匹配 Failed to malloc buffer；日志路径：URMA_LOG_PATH,urma_cmd_delete_jfr_batch 需要为 JFR 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_325,urma_cmd_create_jfc 校验 context 无效导致创建流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_create_jfc 在执行创建前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_326,urma_cmd_create_jfc URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_create_jfc, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_create_jfc 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFC 状态。,无
urma_327,urma_cmd_delete_jfc_batch 校验 设备 无效导致删除流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_delete_jfc_batch 在执行删除前发现调用方传入的 设备 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_328,urma_cmd_delete_jfc_batch 装载或匹配 provider 失败导致设备驱动能力不可用,"关键日志：匹配 `jfc not from the same dev, cannot delete in a batch, index:`；日志路径：URMA_LOG_PATH",urma_cmd_delete_jfc_batch 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_329,urma_cmd_delete_jfc_batch 分配 JFC 临时参数失败导致删除流程无法继续,关键日志：匹配 Failed to malloc buffer；日志路径：URMA_LOG_PATH,urma_cmd_delete_jfc_batch 需要为 JFC 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_330,urma_cmd_alloc_jfc 校验 context 无效导致分配流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_alloc_jfc 在执行分配前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_331,urma_cmd_alloc_jfc 分配 JFC 临时参数失败导致分配流程无法继续,"关键日志：依次匹配 `ioctl failed in urma_cmd_alloc_jfc, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_alloc_jfc 需要为 JFC 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_332,urma_cmd_free_jfc 校验 context 无效导致释放流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_free_jfc 在执行释放前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_333,urma_cmd_set_jfc_opt 校验 JFC 无效导致设置流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_set_jfc_opt 在执行设置前发现调用方传入的 JFC 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_334,urma_cmd_set_jfc_opt 校验 context 无效导致设置流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_set_jfc_opt 在执行设置前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_335,urma_cmd_set_jfc_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_set_jfc_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_set_jfc_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFC 状态。,无
