故障编码,故障域,故障名称,故障表现（验证方法）,故障原因,解决办法
urma_169,用户,URMA context、Jetty对象、目标Jetty对象无效导致解绑Jetty失败,关键日志：匹配`urma_cmd_unbind_jetty_async`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解绑Jetty，调用方传入的URMA context、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_170,用户,URMA context、Jetty对象无效导致获取TP失败,关键日志：匹配`urma_cmd_get_tp_list`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取TP，调用方传入的URMA context、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_171,用户,URMA context无效导致设置TP失败,关键日志：匹配`urma_cmd_set_tp_attr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于设置TP，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_172,用户,URMA context无效导致设置TP失败,关键日志：匹配`urma_cmd_set_tp_attr`，匹配`Invalid tp_attr bytes.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于设置TP，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_173,硬件,设置ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_set_tp_attr`，匹配`Failed in ioctl set_tp_attr, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交设置ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_174,用户,URMA context无效导致获取TP失败,关键日志：匹配`urma_cmd_get_tp_attr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取TP，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_175,用户,URMA context无效导致获取TP失败,关键日志：匹配`urma_cmd_get_tp_attr`，匹配`Invalid tp_attr bytes.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取TP，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_176,硬件,获取ioctl的ioctl调用返回失败,"关键日志：匹配`urma_cmd_get_tp_attr`，匹配`Failed in ioctl get_tp_attr, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数通过ioctl向URMA内核驱动提交获取ioctl请求，驱动返回错误或系统调用失败，用户态无法获得预期的驱动处理结果。,无
urma_177,用户,URMA context无效导致获取TP失败,关键日志：匹配`urma_cmd_exchange_tp_info`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取TP，调用方传入的URMA context不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_178,用户,URMA context、provider操作表无效导致解除导入JFR失败,关键日志：匹配`urma_unimport_jfr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解除导入JFR，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_179,用户,URMA context、provider操作表、provider未提供unimport_jfr操作实现无效导致解除导入JFR失败,关键日志：匹配`urma_unimport_jfr`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解除导入JFR，调用方传入的URMA context、provider操作表、provider未提供unimport_jfr操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_180,用户,URMA context、设备对象、JFR对象无效导致创建Jetty失败,"关键日志：匹配`urma_create_jetty_check_trans_mode`，匹配`Invalid parameter, trans_mode:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建Jetty，调用方传入的URMA context、设备对象、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_181,URMA,创建设备过程中依赖步骤失败,关键日志：匹配`urma_create_jetty_check_trans_mode`，匹配`UB dev should use share jfr!`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建设备，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_182,用户,URMA context、设备对象、JFR对象无效导致创建Jetty失败,"关键日志：匹配`urma_create_jetty_check_trans_mode`，匹配`Invalid parameter, trans_mode:`，匹配`, order_type:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建Jetty，调用方传入的URMA context、设备对象、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_183,用户,JFR对象无效导致创建JFR失败,关键日志：匹配`urma_create_jetty_check_trans_mode`，匹配`jfr cfg is null or trans_mode or order_type invalid with non shared jfr flag.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建JFR，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_184,用户,JFR对象无效导致创建JFR失败,关键日志：匹配`urma_create_jetty_check_trans_mode`，匹配`jfr is null or trans_mode or order_type invalid with shared jfr flag.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建JFR，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_185,URMA,创建Jetty过程中依赖步骤失败,"关键日志：匹配`urma_create_jetty_check_dev_cap`，匹配`jetty_grp jetty cnt:`，匹配`, max_jetty in grp:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_186,URMA,创建Jetty过程中依赖步骤失败,"关键日志：匹配`urma_create_jetty_check_dev_cap`，匹配`jetty cfg out of range, jfs_depth:`，匹配`, max_jfs_depth:`，匹配`, inline_data:`，匹配`, max_jfs_inline_len:`，匹配`, jfr_depth:`，匹配`, max_jfr_depth:`，匹配`, jfs_sge:`，匹配`hu, max_jfs_sge:`，匹配`, jfs_rsge:`，匹配`hu, max_jfs_rsge:`，匹配`, jfr_sge:`，匹配`hu, max_jfr_sge:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_187,用户,JFR对象无效导致执行Token失败,关键日志：匹配`urma_check_jetty_cfg_with_jetty_grp`，匹配`Invalid token with share_jfr.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Token，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_188,用户,JFR对象无效导致执行Token失败,关键日志：匹配`urma_check_jetty_cfg_with_jetty_grp`，匹配`Invalid token with unshared jfr.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Token，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_189,URMA,删除Jetty过程中依赖步骤失败,关键日志：匹配`urma_add_jetty_to_jetty_grp`，匹配`failed to add jetty to jetty_grp.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于删除Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_190,URMA,Jetty清理阶段下层释放操作失败,关键日志：匹配`urma_delete_jetty_to_jetty_grp`，匹配`failed to delete jetty to jetty_grp.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_191,用户,Jetty对象无效导致创建JFC失败,"关键日志：匹配`urma_create_jetty_check_jfc`，匹配`Invalid parameter, jfc is NULL in jfs_cfg.`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建JFC，调用方传入的Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_192,用户,JFR对象无效导致创建JFR失败,"关键日志：匹配`urma_create_jetty_check_jfc`，匹配`Invalid parameter, jfr cfg is null or jfc is NULL with non shared jfr flag.`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建JFR，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_193,用户,JFR对象无效导致创建JFR失败,"关键日志：匹配`urma_create_jetty_check_jfc`，匹配`Invalid parameter, jfr is null or jfc is NULL with shared jfr flag.`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建JFR，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_194,用户,URMA context、设备对象、JFR对象无效导致创建Jetty失败,关键日志：匹配`urma_create_jetty_check_jfc`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建Jetty，调用方传入的URMA context、设备对象、JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_195,用户,URMA context、provider操作表、provider未提供create_jetty操作实现无效导致创建Jetty失败,关键日志：匹配`urma_create_jetty_check_jfc`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建Jetty，调用方传入的URMA context、provider操作表、provider未提供create_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_196,硬件,Jetty创建时下层资源准备失败,"关键日志：匹配`urma_create_jetty_check_jfc`，匹配`[DRV_ERR]create_jetty failed, dev_name:`，匹配`, eid_idx:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责创建Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_197,用户,URMA context、Jetty对象无效导致修改Jetty失败,关键日志：匹配`urma_modify_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于修改Jetty，调用方传入的URMA context、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_198,用户,URMA context、provider操作表、Jetty对象、provider未提供modify_jetty操作实现无效导致修改Jetty失败,关键日志：匹配`urma_modify_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于修改Jetty，调用方传入的URMA context、provider操作表、Jetty对象、provider未提供modify_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_199,用户,URMA context、provider操作表、Jetty对象无效导致查询Jetty失败,关键日志：匹配`urma_query_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询Jetty，调用方传入的URMA context、provider操作表、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_200,用户,URMA context、provider操作表、Jetty对象、provider未提供query_jetty操作实现无效导致查询Jetty失败,关键日志：匹配`urma_query_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于查询Jetty，调用方传入的URMA context、provider操作表、Jetty对象、provider未提供query_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_201,用户,URMA context、provider操作表、Jetty对象无效导致释放Jetty失败,关键日志：匹配`urma_free_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于释放Jetty，调用方传入的URMA context、provider操作表、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_202,URMA,释放Jetty过程中依赖步骤失败,"关键日志：匹配`urma_free_jetty`，匹配`jetty still actived, please deactived first`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于释放Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_203,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`urma_free_jetty`，匹配`Failed to delete jetty because it has remote jetty, try unbind first`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_204,用户,URMA context、provider操作表、Jetty对象、provider未提供free_jetty操作实现无效导致释放Jetty失败,关键日志：匹配`urma_free_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于释放Jetty，调用方传入的URMA context、provider操作表、Jetty对象、provider未提供free_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_205,用户,URMA context、provider操作表、Jetty对象无效导致删除Jetty失败,关键日志：匹配`urma_delete_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于删除Jetty，调用方传入的URMA context、provider操作表、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_206,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`urma_delete_jetty`，匹配`jetty still deactived, can not delete.`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_207,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`urma_delete_jetty`，匹配`Failed to delete jetty because it has remote jetty, try unbind first`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_208,用户,URMA context、provider操作表、Jetty对象、provider未提供delete_jetty操作实现无效导致删除Jetty失败,关键日志：匹配`urma_delete_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于删除Jetty，调用方传入的URMA context、provider操作表、Jetty对象、provider未提供delete_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_209,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`urma_delete_jetty`，匹配`[DRV_ERR]Failed to delete jetty, dev_name:`，匹配`, eid_idx:`，匹配`, id:`，匹配`, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_210,用户,URMA context、provider操作表、Jetty对象无效导致删除Jetty失败,关键日志：匹配`urma_delete_jetty_batch`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于删除Jetty，调用方传入的URMA context、provider操作表、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_211,OS,Jetty相关临时结构或命令参数分配失败,关键日志：匹配`urma_delete_jetty_batch`，匹配`Failed to alloc memory.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配Jetty前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_212,用户,Jetty对象无效导致删除Jetty失败,"关键日志：匹配`urma_delete_jetty_batch`，匹配`Invalid parameter, index`，匹配`jetty in the array is NULL.`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于删除Jetty，调用方传入的Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_213,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`urma_delete_jetty_batch`，匹配`Failed to delete as jetty has remote jetty, try unbind, index:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_214,用户,URMA context、设备对象、sysfs设备信息、provider操作表、Jetty对象无效导致删除Jetty失败,"关键日志：匹配`urma_delete_jetty_batch`，匹配`Invalid parameter, index:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于删除Jetty，调用方传入的URMA context、设备对象、sysfs设备信息、provider操作表、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_215,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`urma_delete_jetty_batch`，匹配`Failed to delete jetty batch, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_216,用户,URMA context、Jetty对象无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_217,用户,URMA context、provider操作表、Jetty对象、provider未提供flush_jetty操作实现无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、provider操作表、Jetty对象、provider未提供flush_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_218,用户,URMA context、provider操作表、目标Jetty对象、provider未提供import_jetty_ex操作实现无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、provider操作表、目标Jetty对象、provider未提供import_jetty_ex操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_219,用户,URMA context、设备对象、sysfs设备信息、provider操作表、目标Jetty对象无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、设备对象、sysfs设备信息、provider操作表、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_220,用户,URMA context、设备对象、sysfs设备信息、provider操作表无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、设备对象、sysfs设备信息、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_221,用户,URMA context、provider操作表无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_222,用户,URMA context、provider操作表、目标Jetty对象无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、provider操作表、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_223,用户,URMA context、provider操作表、目标Jetty对象、provider未提供import_jetty_ex操作实现无效导致刷出Jetty失败,关键日志：匹配`urma_flush_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于刷出Jetty，调用方传入的URMA context、provider操作表、目标Jetty对象、provider未提供import_jetty_ex操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_224,用户,URMA context、provider操作表、目标Jetty对象无效导致解除导入Jetty失败,关键日志：匹配`urma_unimport_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解除导入Jetty，调用方传入的URMA context、provider操作表、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_225,用户,URMA context、provider操作表、目标Jetty对象、provider未提供unimport_jetty操作实现无效导致解除导入Jetty失败,关键日志：匹配`urma_unimport_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解除导入Jetty，调用方传入的URMA context、provider操作表、目标Jetty对象、provider未提供unimport_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_226,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象无效导致绑定Jetty失败,关键日志：匹配`urma_bind_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_227,用户,URMA context、设备对象、sysfs设备信息、provider操作表、Jetty对象、目标Jetty对象无效导致绑定Jetty失败,关键日志：匹配`urma_bind_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，调用方传入的URMA context、设备对象、sysfs设备信息、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_228,URMA,绑定Jetty过程中依赖步骤失败,关键日志：匹配`urma_bind_jetty`，匹配`Not allowed to bind local jetty:`，匹配`of mode:`，匹配`with remote jetty:`，匹配`of mode:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_229,URMA,绑定Jetty过程中依赖步骤失败,"关键日志：匹配`urma_bind_jetty`，匹配`Not allowed to bind local jetty:`，匹配`, with remote jetty:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于绑定Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_230,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象无效导致绑定Jetty失败,关键日志：匹配`urma_bind_jetty_ex`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_231,URMA,绑定Jetty过程中依赖步骤失败,关键日志：匹配`urma_bind_jetty_ex`，匹配`Not allowed to bind local jetty:`，匹配`of mode:`，匹配`with remote jetty:`，匹配`of mode:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_232,URMA,绑定Jetty过程中依赖步骤失败,"关键日志：匹配`urma_bind_jetty_ex`，匹配`Not allowed to bind local jetty:`，匹配`, with remote jetty:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于绑定Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_233,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象、provider未提供bind_jetty_ex操作实现无效导致绑定Jetty失败,关键日志：匹配`urma_bind_jetty_ex`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象、provider未提供bind_jetty_ex操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_234,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象无效导致解绑Jetty失败,关键日志：匹配`urma_unbind_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解绑Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_235,URMA,解绑TP过程中依赖步骤失败,关键日志：匹配`urma_unbind_jetty`，匹配`Not allowed to call unbind as the tp mode of jetty :`，匹配`is:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解绑TP，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_236,用户,URMA context、provider操作表、Jetty对象、provider未提供unbind_jetty操作实现无效导致解绑Jetty失败,关键日志：匹配`urma_unbind_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解绑Jetty，调用方传入的URMA context、provider操作表、Jetty对象、provider未提供unbind_jetty操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_237,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象无效导致解绑Jetty失败,关键日志：匹配`urma_advise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解绑Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_238,用户,URMA context、设备对象、Jetty对象、目标Jetty对象无效导致执行Jetty失败,关键日志：匹配`urma_advise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Jetty，调用方传入的URMA context、设备对象、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_239,用户,URMA context、设备对象、provider操作表、Jetty对象、目标Jetty对象无效导致执行Jetty失败,关键日志：匹配`urma_advise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Jetty，调用方传入的URMA context、设备对象、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_240,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象无效导致执行Jetty失败,关键日志：匹配`urma_unadvise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_241,用户,URMA context、设备对象、Jetty对象、目标Jetty对象无效导致执行Jetty失败,关键日志：匹配`urma_unadvise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Jetty，调用方传入的URMA context、设备对象、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_242,用户,URMA context、设备对象、provider操作表、Jetty对象、目标Jetty对象无效导致执行Jetty失败,关键日志：匹配`urma_unadvise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于执行Jetty，调用方传入的URMA context、设备对象、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_243,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象无效导致导入Jetty失败,关键日志：匹配`urma_unadvise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于导入Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_244,用户,URMA context、provider操作表、provider未提供import_jetty_async操作实现无效导致导入Jetty失败,关键日志：匹配`urma_unadvise_jetty`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于导入Jetty，调用方传入的URMA context、provider操作表、provider未提供import_jetty_async操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_245,OS,Jetty相关临时结构或命令参数分配失败,关键日志：匹配`urma_unadvise_jetty`，匹配`Failed to alloc incomplete_tjetty.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配Jetty前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_246,用户,URMA context、目标Jetty对象无效导致解除导入Jetty失败,关键日志：匹配`urma_unimport_jetty_async`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解除导入Jetty，调用方传入的URMA context、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_247,用户,URMA context、provider操作表、Jetty对象、目标Jetty对象、provider未提供unimport_jetty_async操作实现无效导致解除导入Jetty失败,关键日志：匹配`urma_unimport_jetty_async`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于解除导入Jetty，调用方传入的URMA context、provider操作表、Jetty对象、目标Jetty对象、provider未提供unimport_jetty_async操作实现不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_248,URMA,Jetty清理阶段下层释放操作失败,关键日志：匹配`urma_unimport_jetty_async`，匹配`Failed to unimport jetty.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_249,用户,URMA context、Jetty对象、目标Jetty对象无效导致绑定Jetty失败,关键日志：匹配`urma_bind_jetty_async`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于绑定Jetty，调用方传入的URMA context、Jetty对象、目标Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
